Login Date,IP Address,User Agent,Login Type
Mon Jul 15 09:00:23 UTC 2024,2401:4900:2eeb:c7db:6ce2:8b6b:8bbc:7e7f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Login
Mon Jul 15 09:12:30 UTC 2024,2401:4900:8093:2ba3:d4f9:7ff:fe4c:bebe,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.958.1 motorola_motorola edge 30:android_13,Login
Sun Jul 21 07:42:31 UTC 2024,2401:4900:5fb3:2a8c:840f:8a44:13d8:1da2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Login
Tue Jul 23 13:07:43 UTC 2024,2401:4900:81eb:91d:682f:17ff:fe7e:67a8,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.961 motorola_motorola edge 30:android_13,Login
Thu Jul 25 07:45:29 UTC 2024,2401:4900:820e:b3b7:895a:3c29:686e:f815,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Login
Fri Aug 02 06:55:06 UTC 2024,2401:4900:8083:2b94:647f:19ff:fe44:5d73,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.963 motorola_motorola edge 30:android_13,Login
Fri Aug 02 10:16:38 UTC 2024,2401:4900:8083:2b94:647f:19ff:fe44:5d73,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.965 motorola_motorola edge 30:android_13,Login
Sun Aug 04 15:21:07 UTC 2024,2401:4900:1c75:4052:881c:7849:d348:da4c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Login
Mon Aug 05 09:06:01 UTC 2024,2401:4900:1c75:4052:61e5:9bf5:79e1:5468,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.966 motorola_motorola edge 30:android_13,Login
Mon Aug 05 09:06:01 UTC 2024,2401:4900:1c75:4052:61e5:9bf5:79e1:5468,LIAuthLibrary:0.0.3 com.linkedin.android:4.1.966 motorola_motorola edge 30:android_13,Login
Sun Nov 17 10:15:39 UTC 2024,2401:4900:1c8a:58f9:6966:fccb:f74a:45fa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Login

